,Nom,Activite_principale,Adresse,Ville,Telephone,Detail,Lien_entreprise,Facebook,Linkedin,Autre_lien,Lien_europage
10,MYFAB,Prestataire de services,7 Rue du 35ÈME Régiment d'Aviation,69500 Bron,+33 481090700,"Engagés pour le Made in France, myfab œuvre pour la réussite des industriels français. Le logiciel ERP Open-Prod est une solution 100% française, non détenue par des fonds de pension étrangers. Créé par des industriels pour des industriels, le PGI OPEN-PROD est un logiciel ERP adapté à l’ensemble des besoins d’une industrie manufacturière : Données techniques - Gestion de production - Achats - Gestion des stocks - Ventes et CRM - Planification - Affaires et projets - Comptabilité - Analyse, Business - Qualité et SAV - Communication",https://www.myfab.fr/,,,,https://www.europages.fr/MYFAB/00000005460036-827177001.html
11,COLORAID,Fabricant/Producteur,"Parc de la Madeleine - 1, rue Edouard Branly",44980 Ste Luce Sur Loire,+33 240259047,"Coloraid, entreprise fondée en 1946, conçoit, met en oeuvre et commercialise des systèmes de peinture liquide pour tous types d'entreprises : bâtiment, métallurgie, plastique... dans toute la France. Les systèmes sont prêts à l'emploi ou créés sur mesure en fonction de votre demande : apprêts, produits de finition, laques, produits pour le traitement de surface... Un catalogue en ligne permet de sélectionner le produit précis dont vous aurez besoin au moment voulu et en fonction de votre corps de métier.",http://coloraid.fr/,,,,https://www.europages.fr/COLORAID/00000005239134-557068001.html
12,MAROQUINOR,Fabricant/Producteur,3 Chemin des Pilles,07100 Annonay,+33 475321079,"Fabrique de maroquinerie pour toutes industries: loisir, publicité, transport, rangement, cérémonies et représentations, mesures, etc.Tous nos produits sont fabriqués dans notre usine en Ardèche et témoignent d'une qualité exceptionnelle. Nous pouvons étudier toute demande, n'hésitez pas à nous contacter.",http://www.maroquinor.fr/,,,,https://www.europages.fr/MAROQUINOR/00000004512719-320795001.html
13,AL INDUSTRIE,Fabricant/Producteur,49 route de Gannat,03140 Chantelle,+33 470565874,"AL INDUSTRIE conçoit et fabrique des pièces et des machines destinées à protéger les glissières de vos machines-outils. AL INDUSTRIE vous propose également des machines pour récupérer et même valoriser vos copeaux. Enfin, AL INDUSTRIE conçoit, fabrique et installe tous vos Carénages de Machines Outils.AL INDUSTRIE peut, si vous le souhaiter, réaliser vos carosseries sur mesure.",http://www.al-industrie.fr,,,,https://www.europages.fr/AL-INDUSTRIE/FRA597123-00101.html
14,ZONEINDUSTRIE,Prestataire de services,8 rue lord Byron,29200 Brest,+33 253356000,Zoneindustrie.com créé et met en ligne des stands virtuels dans l'industrie. Il permet également à tous les acteurs de l'industrie de faire connaître l'ensemble de leurs nouveautés et innovations technologiques .,http://www.zoneindustrie.com,,,,https://www.europages.fr/ZONEINDUSTRIE/00000004019852-298071001.html
15,INOVMAT TP SAS,Fabricant/Producteur,1 rue du Général Gouraud,67600 Selestat,,*,,,,,https://www.europages.fr/INOVMAT-TP-SAS/00000004629362-437087001.html
16,AT INDUSTRIE,Distributeur,,"L'entreprise AT INDUSTRIE, qui travaille dans le secteur Location d'équipements industriels. Elle est basée à Tremblay En France, France.",+33 148601258,"L'entreprise AT INDUSTRIE, qui travaille dans le secteur Location d'équipements industriels. Elle est basée à Tremblay En France, France.",http://www.atindustrie.com/,,,,https://www.europages.fr/AT-INDUSTRIE/FRA717314-00101.html
17,FAVID,Fabricant/Producteur,38 Boulevard Edgar Quinet,79200 Parthenay,+33 549642880,"Favid s’attache à créer une relation durable et personnalisée avec chacun de ses clients avec pour objectif de leur proposer des produits répondant au mieux à leurs besoins en termes de composition, de présentation et de conditionnement. Notre métier: Proposer aux industriels de l’agro-alimentaire une gamme de PAI crus et cuits leur permettant de développer de nouveaux produits finis, d’améliorer la qualité et les coûts de leurs recettes existantes. Cette double compétence fait de FAVID un partenaire de choix pour des applications nombreuses et variées. Les plus grands groupes français et internationaux font confiance à l’entreprise pour les accompagner dans leur développement sur les marchés des secteurs de la charcuterie, salaison et plats cuisinés.",http://www.manageo.fr/fiche_info/422507962/13/sn-favid.html,,,,https://www.europages.fr/FAVID/00000004530511-333309001.html
18,SYNAIRGIES,Prestataire de services,"54, rue Ernest Macarez",59300 Valenciennes,+33 366720112,"SynAIRgies est une entreprise spécialisée dans la vente de compresseurs d'air et située dans le nord de la France à Valenciennes. Les compresseurs sont une source d’énergie indispensable pour le fonctionnement d’une usine. Seule la fiabilité des équipements garantie la performance de la production. Il est donc indispensable d’acquérir des compresseurs de marque reconnue assurant qualité, service et disponibilité des pièces de rechange. C'est justement ce que nous proposons.",http://www.synairgies.com/,,,,https://www.europages.fr/SYNAIRGIES/00000004705568-503571001.html
19,FRANCE COLLECTIVITES,Distributeur,L'atrium,30132 Caissargues,+33 430650179,"France Collectivités, basée près de Nîmes, est une société spécialisée dans le mobilier urbain et le mobilier pour collectivités et entreprises. Notre équipe dispose de plus de 10 années d’expérience auprès des mairies, des communautés de communes, des administrations publiques et privées, des associations, des écoles, collèges, lycées, maisons de retraite, et des entreprises de travaux publics et espaces verts. Nous vous proposons une gamme complète pour aménager vos espaces extérieurs (bancs publics, barrières de parking) ainsi que vos aires de jeu et vos espaces de détente (tables de ping-pong, toboggans). Nous proposons également du mobilier intérieur pour vous événements. Nous restons à votre écoute et vous aidons à choisir les produits les plus adaptés à vos besoins. Vous pouvez compter sur notre réactivité, nous répondons à vos demandes dans les plus brefs délais et nous accompagnons tout au long de votre projet. Nous nous engageons à livrer des produits de qualité à des prix abordables respectant les normes en vigueur. De plus, nos produits sont garantis jusqu'à 10 ans pour le bois.N'hésitez pas à nous contacter si vous êtes intéressés, nous serions ravis de vous aider et de vous fournir plus d'informations.",https://www.france-collectivites.fr,https://www.facebook.com/france.collectivites/,https://www.linkedin.com/in/gabriel-poitou-boushaba-804b49138/?originalSubdomain=fr,,https://www.europages.fr/FRANCE-COLLECTIVITES/00000005243893-001.html
20,TOTALENERGIES LUBRIFIANTS,Fabricant/Producteur,562 Avenue Du Parc De L Ile,92029 Nanterre Cedex,+33 141358461,"TotalEnergies est un leader mondial de la production et de la distribution de lubrifiants, qui compte 42 sites de production à travers le monde et rassemble plus de 5 800 collaborateurs dans 150 pays. L’activité Lubrifiants de TotalEnergies offre des produits et services innovants, performants et respectueux de l’environnement, issus des travaux de ses centres R&D composés de plus de 130 chercheurs. L’activité Lubrifiants de TotalEnergies est un partenaire incontournable pour les acteurs des marchés de l’automobile, de l’industrie et de la marineProposant des solutions de lubrification pour plus de 400 applications, nos équipes d'experts sont à votre disposition pour vous accompagner et trouver des solutions à vos contraintes industrielles. L’activité Lubrifiants de TotalEnergies lui permet de travailler en étroite collaboration avec les fabricants et les fournisseurs d'équipements, possédant plus de 4 000 homologations OEM dans le monde entier. Nous vous proposons également une gamme de services tels que des services d'analyse d'huile (ANAC), des logiciels de gestion de maintenance informatisée (TIG6) et autres, pour des solutions fiables.Nous plaçons la relation client au centre de nos préoccupations, avec une équipe dédiée pour assurer une relation commerciale et technique correspondant à vos besoins. ",https://lubricants.totalenergies.com/totalenergies-lubricants-for-industry,,https://www.linkedin.com/showcase/totalenergies-industry-solutions/,,https://www.europages.fr/TOTALENERGIES-LUBRIFIANTS/FRA260676-00101.html
21,BORFLEX SERVICES,Fabricant/Producteur,Z.I. du Madrillet,76800 St-Étienne-Rouvray,+33 344073116,"BORFLEX est le spécialiste de la conception, du prototypage et de la fabrication de pièces en élastomère (caoutchouc, silicone, TPE et polyuréthane), de profils composites pultrudés et de pièces composites moulées.En tant que créateurs de solutions, BORFLEX place l’innovation au cœur de sa stratégie. Du design jusqu’à une maîtrise globale de la chaîne logistique, nous accompagnons les plus grands groupes industriels et leurs fournisseurs. Nous inspirons nos clients avec nos idées novatrices.Nous avons plus de 350 collaborateurs au service de nos clients dans plus de 30 pays à travers le monde. Nous sommes spécialisés dans la réalisation de solutions élastomères et composites sur mesure en petites et moyennes séries. Nous maîtrisons tous les procédés de transformation, tels que le moulage (par compression, injection ou transfert), l’extrusion (classique, autoclave ou discontinue, UHF, bain de sel), la confection, le garnissage de rouleaux, la découpe (classique, à la main et avec emporte pièce, jet d’eau), le coulage et le calandrage.Les produits BORFLEX sont présents sur de nombreux marchés : la défense, le ferroviaire, le transport terrestre, l’énergie, l’agro-alimentaire, la maintenance industrielle, le nucléaire, l’aéronautique, l’imprimerie, l’emballage, la pétrochimie, etc. ",http://www.borflex.fr,https://www.facebook.com/borflex.caoutchouc/,https://www.linkedin.com/company/borflex/,https://twitter.com/borflex,https://www.europages.fr/BORFLEX-SERVICES/00000004654018-001.html
22,PAPETERIE DE MANDEURE,Fabricant/Producteur,14 Rue De La Papeterie,25350 Mandeure,+33 381352052,"Papeterie de Mandeure est fabricant de papiers et cartes 100% cellulose, non couchés, blanc, couleurs et noir intense, de 100g/m² à 600g/m² en monojet.Forte de ses 150 ans d'existence et de son savoir-faire, Papeterie de Mandeure est reconnue pour ses cartes de qualité dédiées à la billetterie, au classement bureautique, à l'édition et à la communication imprimée, au packaging de luxe, à l'emballage alimentaire et à l'archivage.Tous les produits de Papeterie de Mandeure sont fabriqués à partir de pâte 100% pure cellulose ECF, obtenue à partir de bois issu de forêts certifiées pour leur gestion de l'environnement et sont 100% recyclables.",http://papmandeure.com/index.php?id=2&L=1%29,,,,https://www.europages.fr/PAPETERIE-DE-MANDEURE/FRA002780-00101.html
23,POMPES AB,Fabricant/Producteur,7 Rue Marie Curie,78310 Maurepas,+33 130051515,"Pompes AB, fabricant français de pompes industrielles depuis 1978.Nous développons des pompes péristaltiques sans bain d'huile afin de répondre aux applications hygiéniques et industrielles tout en évitant tout risque de contamination croisée. L'avantage d'une conception sans bain d'huile est que cela permet un démontage rapide tube et permet de passer d'une production à une autre en moins de 15min. Plus besoin de passer 2h à démonter la pompe pour la nettoyer afin de pomper un autre fluide.Nous invitons nos clients à utiliser des pompes à entrainement magnétique, sans garniture mécanique donc sans fuites, afin de sécuriser leurs process et éviter tout accident humain ou environnemental. Nos pompes sont disponibles en polypropylène, PVDF, PFA, INOX, HASTELLOY, INCOLOY, TITANE afin de répondre aux contraintes techniques.POMPES AB dispose de la gamme la plus large du marché avec des hydrauliques à palettes, Turbine, Centrifuge, Canal latéral, Engrenages et piston excentré. Cette connaissance et antériorité permettent de proposer des pompes sur-mesure jusqu'à 400°C et 1500 Bar.Et parce qu’une installation industrielle doit assumer sa fonction sans relâche et sans nuire à la santé des hommes et de leur environnement, POMPES AB apporte la sécurité de pompage avec le détecteur DLM20, anti-marche à sec de pompes et la sécurité humaine avec les gaines anti projections afin d’éviter tout danger lors de fuites de fluides dangereux aux joints de bride, raccord, vanne, robinet… ",https://www.pompes-ab.com/,https://www.facebook.com/pompes.ab,https://www.linkedin.com/company/pompes-ab/?originalSubdomain=fr,https://twitter.com/abpompes,https://www.europages.fr/POMPES-AB/FRA302929-00101.html
24,LE VIN ÉMOI,Distributeur,3 preuil,49560 Lys Haut Layon,+33 602358456,"LE VIN EMOI, situé en Maine-et-Loire, est un grossiste en vins et bières. Nous sélectionnons pour vous une gamme de vins de qualité issus de nos belles régions viticoles. Les vins proposés sont issus du savoir-faire de vignerons indépendants engagés pour vous offrir le meilleur.Les vins et alcools que nous proposons sont destinés : - aux restaurants- aux cavistes- aux bars- aux hôtels- aux revendeurs- aux commerces…Le Vin Émoi met tout en œuvre pour vous proposer une sélection de vin avec le concours de partenaires vignerons attachés dans une démarche de qualité de production. Une offre de bière de brasseries locales pour compléter la gamme offrant ainsi un plaisir pour chaque amateur. Un éventail complémentaire de spiritueux, de cafés de torréfaction artisanale et thés viennent compléter l'offre.Les vins et bières ont certains labels tels que : AB (Agriculture Biologique) ou Terra Vitis ou HVE (Hautes valeurs environnementales).Afin de répondre à la demande de nos clients et les satisfaire, nous réalisons un sourcing spécifique si nous n'avons pas la référence demandée. Nous offrons une gamme de vins, champagnes, spiritueux, bières pression et ainsi que des boissons sans alcool et machines à café et nous nous adaptons aux besoins et budgets de chacun, pour tous évènements : mariages, séminaires, afterworks…L’abus d’alcool est dangereux pour la santé. A consommer avec modération !  ",http://levinemoi.fr,https://www.facebook.com/LeVinEmoi49,https://www.linkedin.com/in/bertrand-aguesse-le-vin-%C3%A9moi/,,https://www.europages.fr/LE-VIN-EMOI/00000005321541-618202001.html
25,ERGOFFICE,Distributeur,Z.I du Bois Galon - 29/31 rue du Bois Galon,94120 Fontenay Sous Bois,+33 141958278,"Création en 2007 de ERGOFFICE-INNOV. L’évolution de nos modes de travail traduit le besoin de faire du bureau un espace que l’on vit autrement et qui nous ressemble davantage. Aujourd’hui, l'agencement des postes de travail doit toujours être en mesure de s’adapter aux exigences de petits espaces comme des grands open-spaces, le bureau répond alors avec pertinence à nos aspirations. ERGOFFICE vous propose une gamme complète de mobiliers et accessoires de bureau pour aménager vos espaces de travail ou de détente, disponibles en majorité sur stock. Nous sommes également spécialisés dans l'équipement des salles informatiques, salles serveurs, postes visioconférence, salle PC Sécurité. Nous privilégions nos fabricants Français (COLUMBIA, CLEN, SOKOA, EGIC) répondant ainsi aux normes Européennes. Nous accordons une attention particulière à la qualité de nos fournisseurs, à l’environnement et à la sécurité pour répondre aux exigences professionnelles tout en respectant l’Homme et la Nature. Vous avez un projet d'aménagement ? Consultez nous, sans engagement.",https://www.ergoffice-innov.fr/,,,,https://www.europages.fr/ERGOFFICE/00000004636564-732688001.html
26,RNC BUSINESS INTERNATIONAL,Distributeur,151 bis boulevard voltaire,92600 Asnières Sur Seine,,"RNC BUSINESS INTERNATIONAL a été fondée en 2020 et est basée à Asnières Sur Seine, France. La société est spécialisée dans l'import-export de produits alimentaires notamment ails, navets, oranges, huile d'olive, vins, etc... L'industrie agro-alimentaire produit des biens de consommation à partir des produits issus de l'agriculture et de l'élevage. Les produits comme les yaourts, fromages, plats surgelés, pâtés, chocolat et autres confiseries sont issus de ces entreprises.N'hésitez pas à nous contacter pour plus d'informations.",,,,,https://www.europages.fr/RNC-BUSINESS-INTERNATIONAL/00000005461950-830822001.html
27,QAD EUROPE,Prestataire de services,3 Allee De Stockholm,67300 Schiltigheim,+33 187158009,"Forte de plus de 40 années d’expérience dans le déploiement d’ERP chez les industriels à travers le monde, la société QAD est un  partenaire de la transformation digitale pour les moyennes et grandes entreprises. Le portefeuille de solutions de QAD, appelé QAD Adaptive Applications, offre des solutions de gestion d’entreprise et de supply chain complète, basées sur le cloud . Ses solutions  répondent aux nouveaux enjeux des industriels des secteurs de la high-tech/électronique, l’automobile, l'agroalimentaire, les dispositifs médicaux, la sous-traitance pharmaceutique et les biens de consommation.QAD Adaptive ERP est une solution de planification des ressources d'entreprise (ERP) basée sur le cloud, conçue exclusivement pour la fabrication mondiale. Elle prend en charge les meilleurs processus d'entreprise spécifiques à l'industrie et des options flexibles de déploiement. QAD Adaptive ERP, assure aux entreprises deux éléments essentiels : une disponibilité à 100 % et la capacité d’évoluer très rapidement. L’objectif est de réduire les rigidités des entreprises en fournissant un logiciel évolutif, adaptable et bénéficiant des dernières technologies.Le cloud permet aussi aux équipes IT des industriels de se concentrer sur des projets d’évolutions stratégiques. Au passage, elles se déchargent ainsi de la responsabilité, de la disponibilité et de la continuité d’accès à l’outil, en la confiant aux équipes QAD dont c’est le métier. ",https://www.qad.com/fr-FR,https://www.facebook.com/QADerp,https://www.linkedin.com/company/qad/,https://www.instagram.com/qad_erp/,https://www.europages.fr/QAD-EUROPE/00000005449712-791413001.html
